Date,Day,Tasks,# of Tasks,Time Spent (mins),Working Hours (mins),Meetings/Training (mins),,Summary of Tasks,Total # of Tasks Done,Total Time Spent (mins),,Date,Items per Task,# of Tasks,Working Hours (mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,7,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorsement,8,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB097932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB092652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB094178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial Renewal Quote,6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-May-26,Saturday,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May-26,Sunday,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-26,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meeting with Marj,1,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial Renewal Quote,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorsement,10,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB098367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB098007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB095129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB096316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,2,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,390,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-May-26,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,8,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103593 (Work In Progress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock up Endorsement,3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB098061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-May-26,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock up Endorsement,7,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB093500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB098013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB096315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB097180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-May-26,Thursday,Halfday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial Renewal Quote,7,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102403 - GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102403 - XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Filing Intakes,7,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB092835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB092620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB098571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB050775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,1,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorsement,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB098013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-May-26,Friday,Absent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-May-26,Saturday,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-May-26,Sunday,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-May-26,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TIC Meeting,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,7,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,441,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-May-26,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,7,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103666 (Nautilus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103666 (Scottsdale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103666 (ACIC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103666 (Northfield),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104141 (Work In Progress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-May-26,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,8,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-May-26,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,9,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102367 (Scottsdale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102367 (Northfield),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-May-26,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,7,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial Auto Endorsement,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB095383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorement,1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-May-26,Saturday,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-26,Sunday,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-May-26,Monday,US Holiday (Office Close),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-26,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meeting w/ Chrissy,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,2,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorement,5,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB099785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB094078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,434,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-May-26,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,4,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102334 (Work in Progress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorement,3,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB101554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial Auto Endorsement,1,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB095857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-May-26,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial New Business Rating,5,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB102334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB103666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB104439 (Work in Progress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Creating Mock Up Endorsement,1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB100535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Commercial Auto Endorsement,1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUB095857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Inspection,3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
